city;state-prov;data_type;WMO_code;latitude;longitude;altitude;filename
Norvenich AP;NW;SRC-TMYx;105020;50.8294;6.6603;133.9;DEU_NW_Norvenich.AP.105020_TMYx.2007-2021.epw
Paderborn Lippstadt AP;NW;SRC-TMYx;104260;51.614;8.616;213.1;DEU_NW_Paderborn.Lippstadt.AP.104260_TMYx.2007-2021.epw
Paenbruch;NW;SRC-TMYx;104330;51.8664;9.2708;259.2;DEU_NW_Paenbruch.104330_TMYx.2007-2021.epw
Rheine Bentlage AP;NW;SRC-TMYx;103060;52.291;7.387;39.3;DEU_NW_Rheine.Bentlage.AP.103060_TMYx.2007-2021.epw
Siegerland AP;NW;SRC-TMYx;106162;50.708;8.083;599.2;DEU_NW_Siegerland.AP.106162_TMYx.2007-2021.epw
Weeze AP;NW;SRC-TMYx;100001;51.602;6.142;32.3;DEU_NW_Weeze.AP.100001_TMYx.2007-2021.epw
Buchel AB;RP;SRC-TMYx;106130;50.1747;7.0594;485.8;DEU_RP_Buchel.AB.106130_TMYx.2007-2021.epw
Frankfurt Hahn AP;RP;SRC-TMYx;106160;49.9461;7.2644;503.1;DEU_RP_Frankfurt-Hahn.AP.106160_TMYx.2007-2021.epw
Idar Oberstein;RP;SRC-TMYx;106180;49.6928;7.3264;377;DEU_RP_Idar.Oberstein.106180_TMYx.2007-2021.epw
Nurburg Barweiler;RP;SRC-TMYx;105060;50.3603;6.8697;488.2;DEU_RP_Nurburg.Barweiler.105060_TMYx.2007-2021.epw
Ramstein AFB;RP;SRC-TMYx;106140;49.437;7.6;238.1;DEU_RP_Ramstein.AFB.106140_TMYx.2007-2021.epw
Spangdahlem AB;RP;SRC-TMYx;106070;49.973;6.693;364.8;DEU_RP_Spangdahlem.AB.106070_TMYx.2007-2021.epw
Fehmar;SH;SRC-TMYx;100550;54.5283;11.0606;8.5;DEU_SH_Fehmar.100550_TMYx.2007-2021.epw
Hohenlockstedt Itzehoe Hungriger Wolf AP;SH;SRC-TMYx;101420;53.9897;9.5697;25.5;DEU_SH_Hohenlockstedt-Itzehoe.Hungriger.Wolf.AP.101420_TMYx.2007-2021.epw
Hohn AB;SH;SRC-TMYx;100380;54.3147;9.5389;17.8;DEU_SH_Hohn.AB.100380_TMYx.2007-2021.epw
Kiel Holtenau AP;SH;SRC-TMYx;100460;54.3761;10.1433;28;DEU_SH_Kiel.Holtenau.AP.100460_TMYx.2007-2021.epw
Leck AP;SH;SRC-TMYx;100220;54.7903;8.9514;7.8;DEU_SH_Leck.AP.100220_TMYx.2007-2021.epw
Lubeck AP;SH;SRC-TMYx;101560;53.8025;10.6989;17;DEU_SH_Lubeck.AP.101560_TMYx.2007-2021.epw
Meierwik;SH;SRC-TMYx;100330;54.8272;9.5058;33.3;DEU_SH_Meierwik.100330_TMYx.2007-2021.epw
Quickborn;SH;SRC-TMYx;101460;53.7331;9.8775;12.2;DEU_SH_Quickborn.101460_TMYx.2007-2021.epw
Schleswig AB;SH;SRC-TMYx;100370;54.4569;9.5203;25.1;DEU_SH_Schleswig.AB.100370_TMYx.2007-2021.epw
St Peter Ording;SH;SRC-TMYx;100280;54.3278;8.6031;11.2;DEU_SH_St.Peter.Ording.100280_TMYx.2007-2021.epw
Westerland Sylt AP;SH;SRC-TMYx;100180;54.913;8.34;15.5;DEU_SH_Westerland.Sylt.AP.100180_TMYx.2007-2021.epw
Saarbrucken AP;SL;SRC-TMYx;107080;49.2128;7.1078;320.3;DEU_SL_Saarbrucken.AP.107080_TMYx.2007-2021.epw
Dresden AP;SN;SRC-TMYx;104880;51.1281;13.7544;232.4;DEU_SN_Dresden.AP.104880_TMYx.2007-2021.epw
Leipzig Halle AP;SN;SRC-TMYx;104690;51.4347;12.2397;135.5;DEU_SN_Leipzig.Halle.AP.104690_TMYx.2007-2021.epw
Leipzig Holzhausen;SN;SRC-TMYx;104710;51.315;12.4461;138;DEU_SN_Leipzig.Holzhausen.104710_TMYx.2007-2021.epw
Altenburg Nobitz AP;TH;SRC-TMYx;105536;50.982;12.506;195.1;DEU_TH_Altenburg.Nobitz.AP.105536_TMYx.2007-2021.epw
Erfurt Binderslebn AP;TH;SRC-TMYx;105540;50.9828;10.9608;322;DEU_TH_Erfurt.Binderslebn.AP.105540_TMYx.2007-2021.epw
Coleman;BW;SRC-TMYx;107280;49.564;8.463;94.2;DEU_BW_Coleman.AP.107280_TMYx.2007-2021.epw
Donaueschingen-Villingen;BW;SRC-TMYx;109120;47.973;8.522;680;DEU_BW_Donaueschingen-Villingen.AP.109120_TMYx.2007-2021.epw
Schwabisch Hall-Wurth;BW;SRC-TMYx;107450;49.118;9.784;399.6;DEU_BW_Schwabisch.Hall-Wurth.AP.107450_TMYx.2007-2021.epw
Erding;BY;SRC-TMYx;108690;48.322;11.949;461.8;DEU_BY_Erding.AB.108690_TMYx.2007-2021.epw
Weihenstephan Durna;BY;SRC-TMYx;108630;48.4025;11.6944;478.7;DEU_BY_Weihenstephan.Durna.108630_TMYx.2007-2021.epw
Frankfurt-Egelsbach;HE;SRC-TMYx;106325;49.961;8.642;117.3;DEU_HE_Frankfurt-Egelsbach.AP.106325_TMYx.2007-2021.epw
Geisenheim;HE;SRC-TMYx;106280;49.9858;7.9547;111.5;DEU_HE_Geisenheim.106280_TMYx.2007-2021.epw
Hamburg Finkenwerder;HH;SRC-TMYx;101490;53.536;9.837;6.7;DEU_HH_Hamburg.Finkenwerder.AP.101490_TMYx.2007-2021.epw
Jever;NI;SRC-TMYx;101220;53.534;7.889;7.3;DEU_NI_Jever.AB.101220_TMYx.2007-2021.epw
Rotenburg;NI;SRC-TMYx;102340;53.133;9.35;61;DEU_NI_Rotenburg.AP.102340_TMYx.2007-2021.epw
Geilenkirchen;NW;SRC-TMYx;105000;50.9592;6.0392;76.4;DEU_NW_Geilenkirchen.AFB.105000_TMYx.2007-2021.epw
Werl;NW;SRC-TMYx;104240;51.5764;7.8881;86.2;DEU_NW_Werl.104240_TMYx.2007-2021.epw
Baumholder 106190;RP;SRC-TMYx;106190;49.65;7.3;426;DEU_RP_Baumholder.AP.106190_TMYx.2007-2021.epw
Baumholder 106598;RP;SRC-TMYx;106598;49.633;7.283;426;DEU_RP_Baumholder.AP.106598_TMYx.2007-2021.epw
Zweibruecken;RP;SRC-TMYx;106163;49.21;7.401;345.3;DEU_RP_Zweibruecken.AP.106163_TMYx.2007-2021.epw
Doernick;SH;SRC-TMYx;101500;54.1656;10.3519;27.6;DEU_SH_Doernick.101500_TMYx.2007-2021.epw
