hk_geb;uk_geb;typ_18599;nr_18599;typ_sia2024;nr_sia2024;gain_per_person_18599;gain_per_person_sia2024;appliance_gains_tief_18599;appliance_gains_mittel_18599;appliance_gains_hoch_18599;appliance_gains_ziel_sia2024;appliance_gains_standard_sia2024;appliance_gains_bestand_sia2024;usage_start_18599;usage_end_18599;usage_start_sia2024;usage_end_sia2024
Gebäude für Kultur und Freizeit;Oper, Theater und Veranstaltungshalle, Kino, Konferenzzentrum;Bühne (Theater, Veranstaltungsbauten);25;Vorstellungsraum;7.1;70;70;0;0;0;1;2;3;13;23;12;24
Gebäude für Kultur und Freizeit;Freizeit-, Gemeinschafts-, Bürgerhaus;Besprechung/Sitzungszimmer/Seminar;4;Sitzungszimmer;3.3;70;70;1;2;3;1;2;3;7;18;9;17
Gebäude für Kultur und Freizeit;Spielkasino, -bank, -halle;Besprechung/Sitzungszimmer/Seminar;4;Ausstellungshalle;7.3;70;70;1;2;3;3;7;15;7;18;7;23
Sportgebäude;Einfeldhalle;Turnhalle (ohne Zuschauerbereich);31;Turnhalle;11.1;125;120;0;0;0;0;0;0;8;23;7;23
Sportgebäude;Mehrfeldhalle;Turnhalle (ohne Zuschauerbereich);31;Turnhalle;11.1;125;120;0;0;0;0;0;0;8;23;7;23
Sportgebäude;Gymnastikhalle;Turnhalle (ohne Zuschauerbereich);31;Turnhalle;11.1;125;120;0;0;0;0;0;0;8;23;7;23
Sportgebäude;Sporthalle mit Mehrzwecknutzung;Turnhalle (ohne Zuschauerbereich);31;Mehrzweckhalle;7.2;125;70;0;0;0;2;4;6;8;23;7;23
Sportgebäude;Hallenbad;Turnhalle (ohne Zuschauerbereich);31;Schwimmhalle;11.3;125;70;0;0;0;1;2;3;8;23;7;23
Sportgebäude;Spaß- und Freizeitbad;Turnhalle (ohne Zuschauerbereich);31;Schwimmhalle;11.3;125;70;0;0;0;1;2;3;8;23;7;23
Sportgebäude;Thermalbad;Turnhalle (ohne Zuschauerbereich);31;Schwimmhalle;11.3;125;70;0;0;0;1;2;3;8;23;7;23
Sportgebäude;Hallenbad mit Freibadanlage;Turnhalle (ohne Zuschauerbereich);31;Schwimmhalle;11.3;125;70;0;0;0;1;2;3;8;23;7;23
Sportgebäude;Kegelbahn/Bowling;Turnhalle (ohne Zuschauerbereich);31;Turnhalle;11.1;125;120;0;0;0;0;0;0;8;23;7;23
Sportgebäude;Schießstand;Turnhalle (ohne Zuschauerbereich);31;Lagerhalle;10.1;125;90;0;0;0;0;0;0;8;23;0;24
Sportgebäude;Raumschießanlage;Turnhalle (ohne Zuschauerbereich);31;Lagerhalle;10.1;125;90;0;0;0;0;0;0;8;23;0;24
Sportgebäude;Reithalle;Lagerhallen, Logistikhallen;41;Lagerhalle;10.1;70;90;0;0;0;0;0;0;0;24;0;24
Sportgebäude;Eissporthalle;Lagerhallen, Logistikhallen;41;Lagerhalle;10.1;70;90;0;0;0;0;0;0;0;24;0;24
Sportgebäude;Tennishalle;Turnhalle (ohne Zuschauerbereich);31;Turnhalle;11.1;125;120;0;0;0;0;0;0;8;23;7;23
Sportgebäude;Fitnessstudio;Fitnessraum;35;Fitnessraum;11.2;110;120;1;2;3;1;2;3;8;23;7;23
Sportgebäude;Gebäude für Sportaußenanlage (Tribünen-, Umkleidegebäude);Sonstige Aufenthaltsräume (Garderobe, Teeküche, Lager, Archiv, Flur);18;Garderobe, Dusche;12.8;70;70;0;0;0;0;0;0;7;18;7;18
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Herberge, Ferienheim, Ferienhaus, Hotel/Pension einfach;Hotelzimmer (Doppelzimmer);11;Hotelzimmer;2.1;70;70;2;4;6;4;8;10;21;8;17;12
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sterne-Hotel;Hotelzimmer (Doppelzimmer);11;Hotelzimmer;2.1;70;70;2;4;6;4;8;10;21;8;17;12
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Ausschankwirtschaft;Kantine (Restaurant);13;Restaurant;6.1;70;70;1;2;3;1;2;3;10;24;8;24
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Speisegaststätte (einfach);Kantine (Restaurant);13;Restaurant;6.1;70;70;1;2;3;1;2;3;10;24;8;24
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Restaurant (gehoben);Kantine (Restaurant);13;Restaurant;6.1;70;70;1;2;3;1;2;3;10;24;8;24
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Mensa/Kantine;Kantine (Kantine);12;Selbstbedienungsrestaurant;6.2;70;70;1;2;3;1;2;3;8;15;8;15
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Gemeinschaftsunterkunft (z.B. Flüchtlingsheim, Kaserne, Kloster);Wohnen (MFH);43;Wohnen MFH;1.1;80;70;4.8;7.2;10.8;4;8;10;0;24;0;24
Beherbergungs- oder Unterbringungsgebäude, Gastronomie- oder Verpflegungsgebäude;Sonstige Gebäudefunktion;Sonstige Aufenthaltsräume (Pausenraum, Wartezimmer);17;Nebenraum;12.4;70;70;1;2;3;0;0;0;7;18;6;19
Produktions-, Werkstatt-, Lager- oder Betriebsgebäude;Gebäude für gewerbliche Produktion und Verarbeitung (z.B. Brauerei, Molkerei, Schlachthof);Gewerbliche und industrielle Hallen (mittelschwere Arbeit, überw. stehende Tätigkeit);22.2;Produktion (grobe Arbeit);9.1;100;90;25;35;45;5;10;15;7;16;0;24
